"total_sales","total_units_sold","avg_product_revenue","product_name","category"
"22825034.97","1588381","159.4283287466472955","Hydrometer","Accessories"
"16598832.25","1588405","116.0213903276087428","Thermometer","Accessories"
"8537183.06","1586837","59.5215998047828209","Bottle Caps","Accessories"
"17923591.04","1575008","126.0086124253907101","Bottle Cleaners","Cleaning Supplies"
"15974143.35","1589467","111.3902623302907111","Sanitizer","Cleaning Supplies"
"8567942.40","1586656","59.8750665632403195","Cleaning Brushes","Cleaning Supplies"
"185491340.23","1576369","1300.3339682016698329","Fermenter","Equipment"
"172425598.62","1586398","1204.5604329905549656","Brewing Kettle","Equipment"
"118094125.59","1582819","826.1681352576569518","Bottling Tools","Equipment"
"38850112.83","1570971","273.2075445147679325","Malt","Ingredients"
"14391409.01","1576277","100.7745295081508039","Hops","Ingredients"
"11462196.18","1585366","79.9021015942503817","Yeast","Ingredients"
"166374705.00","1584521","1164.8197895444330092","Advanced Kit","Kits"
"129694163.55","1582215","908.6105657879065988","Starter Kit","Kits"
"85813803.16","1580947","603.1587159987067208","Hoodie","Merchandise"
"37747636.16","1583374","263.8772188745193988","T-Shirt","Merchandise"
"28634545.38","1585523","200.5473055427154683","Beanie","Merchandise"
"15973634.80","1581548","111.9895874084200932","Hat","Merchandise"
"62530243.36","1582243","436.6179754913940579","Growlers","Packaging"
"56885256.00","1580146","398.1191587640410120","Glass Bottles","Packaging"
"8868946.25","1569725","62.4657260478514731","Bottle Labels","Packaging"
